Wed Nov 21 00:25:26 2018
airp_1_gray.jpg airp_10_gray.jpg airp_11_gray.jpg airp_12_gray.jpg airp_13_gray.jpg airp_2_gray.jpg airp_3_gray.jpg airp_4_gray.jpg airp_7_gray.jpg airp_9_gray.jpg ketch_1_gray.jpg ketch_10_gray.jpg ketch_11_gray.jpg ketch_2_gray.jpg ketch_3_gray.jpg ketch_4_gray.jpg ketch_5_gray.jpg ketch_6_gray.jpg ketch_8_gray.jpg ketch_9_gray.jpg 
airp/ airp/ airp/ airp/ airp/ airp/ airp/ airp/ airp/ airp/ ketch/ ketch/ ketch/ ketch/ ketch/ ketch/ ketch/ ketch/ ketch/ ketch/ 
0.000497 0.954961 0.931110 0.955121 0.959867 0.915346 0.916728 0.888472 0.916423 0.942838 0.975731 0.971789 0.953864 0.957072 0.961143 0.949209 0.958587 0.969930 0.961738 0.952004 
0.953554 0.000352 0.927516 0.915904 0.882829 0.937016 0.943702 0.948276 0.939479 0.901816 0.958695 0.959174 0.959180 0.932090 0.947368 0.944956 0.962850 0.932893 0.947147 0.960746 
0.931843 0.931035 0.000366 0.898131 0.916453 0.874313 0.863686 0.906926 0.886861 0.878615 0.950980 0.922936 0.924245 0.927868 0.944696 0.923931 0.938490 0.941694 0.934339 0.935016 
0.954354 0.926460 0.889337 0.000384 0.893962 0.894898 0.888848 0.944048 0.926642 0.882650 0.956445 0.938532 0.939244 0.932794 0.950658 0.944720 0.960262 0.947928 0.944066 0.954148 
0.958395 0.885644 0.905093 0.883284 0.000368 0.919735 0.909758 0.950663 0.937591 0.877606 0.956606 0.950229 0.947788 0.924701 0.949836 0.939759 0.961175 0.940777 0.941310 0.955962 
0.922852 0.945461 0.873580 0.907940 0.931517 0.000417 0.869039 0.903117 0.885401 0.892737 0.960141 0.927064 0.930321 0.936840 0.953125 0.934562 0.944428 0.950862 0.939527 0.939964 
0.922964 0.942294 0.856724 0.885180 0.913426 0.867205 0.000367 0.904989 0.883942 0.881641 0.955159 0.921101 0.920068 0.926636 0.948602 0.926057 0.941687 0.947928 0.934339 0.936005 
0.886594 0.946868 0.898498 0.944048 0.953608 0.898611 0.896185 0.000376 0.877007 0.922327 0.964159 0.946101 0.935637 0.936664 0.953947 0.930546 0.940164 0.958562 0.946822 0.935346 
0.914963 0.941590 0.880657 0.931752 0.944526 0.883577 0.880657 0.883577 0.000365 0.911903 0.961106 0.929128 0.924815 0.932794 0.949013 0.926530 0.936510 0.948295 0.941148 0.929573 
0.948218 0.914257 0.890047 0.904506 0.910222 0.898453 0.901479 0.929724 0.912239 0.000336 0.952748 0.934633 0.943042 0.927340 0.939762 0.928420 0.952497 0.937844 0.934663 0.944417 
0.974124 0.960141 0.950980 0.958052 0.963838 0.961427 0.960302 0.966249 0.961749 0.950980 0.000161 0.940694 0.927676 0.924462 0.924462 0.918354 0.914281 0.913050 0.915461 0.916104 
0.971789 0.963532 0.908945 0.935780 0.949312 0.917431 0.914679 0.944037 0.925229 0.928211 0.938123 0.000229 0.916651 0.920654 0.938322 0.909633 0.921285 0.931243 0.922017 0.924460 
0.956712 0.960699 0.921587 0.941143 0.952345 0.929182 0.925195 0.945130 0.927283 0.935637 0.923337 0.922347 0.000190 0.910802 0.926144 0.900133 0.890834 0.900257 0.884079 0.890318 
0.958480 0.933146 0.922766 0.928044 0.923821 0.930507 0.924173 0.941766 0.933322 0.910978 0.918836 0.921182 0.903941 0.000176 0.912210 0.916432 0.912302 0.896552 0.895428 0.905492 
0.964021 0.956826 0.956003 0.960115 0.958470 0.954564 0.952303 0.957031 0.953947 0.946340 0.921408 0.945929 0.927473 0.921006 0.000206 0.919202 0.931943 0.920425 0.934176 0.930727 
0.945901 0.949209 0.926057 0.949445 0.951099 0.935507 0.930073 0.933381 0.925348 0.930782 0.921729 0.915138 0.896526 0.916784 0.918997 0.000236 0.906212 0.909791 0.909533 0.906482 
0.966657 0.965438 0.943210 0.963002 0.969549 0.950365 0.951583 0.951888 0.942296 0.950213 0.915347 0.932704 0.894488 0.915956 0.926005 0.909866 0.000152 0.911693 0.886724 0.900883 
0.972314 0.930693 0.934727 0.934543 0.933077 0.945361 0.944995 0.961496 0.947561 0.926293 0.909032 0.924642 0.898056 0.891802 0.911808 0.906857 0.907887 0.000183 0.894780 0.909781 
0.968385 0.950713 0.933204 0.947795 0.946822 0.942283 0.940337 0.953956 0.941958 0.928502 0.909836 0.930123 0.882296 0.905156 0.929961 0.906128 0.876979 0.901751 0.000162 0.887484 
0.958107 0.963055 0.929903 0.957117 0.962395 0.935181 0.932707 0.942108 0.929903 0.937655 0.910640 0.928748 0.885865 0.912255 0.926439 0.906977 0.890987 0.909451 0.882944 0.000165 
